company_name,founding_year,vc_backed_binary,start_date,exit_date,exit_type,source,tags,team_size,country,adjusted_start,end_date,event,time_years,sector,geography,team_size_category,post_2008,years_since_founding,decade,vc_x_post2008,log_time_years
New Century Financial Corp,1995,0,1996-01-01,1997-06-25,IPO,Jay_Ritter,,,,1996-01-01,1997-06-25,1,1.4811772758384667,Other,Unknown,Unknown,0,29,1990,0,0.9087331555380757
ChromaVision Medical Systems,1996,1,1997-01-01,1997-07-01,IPO,Jay_Ritter,,,,1997-01-01,1997-07-01,1,0.4955509924709103,Other,Unknown,Unknown,0,28,1990,0,0.402494695778991
InfoCure Corp,1996,0,1997-01-01,1997-07-10,IPO,Jay_Ritter,,,,1997-01-01,1997-07-10,1,0.5201916495550992,Other,Unknown,Unknown,0,28,1990,0,0.41883641214372797
Metals USA Inc,1996,0,1997-01-01,1997-07-10,IPO,Jay_Ritter,,,,1997-01-01,1997-07-10,1,0.5201916495550992,Other,Unknown,Unknown,0,28,1990,0,0.41883641214372797
At Home Corp,1995,1,1996-01-01,1997-07-11,IPO,Jay_Ritter,,,,1996-01-01,1997-07-11,1,1.5249828884325805,Other,Unknown,Unknown,0,29,1990,0,0.9262342858459761
CCA Prison Realty Trust,1997,0,1997-01-01,1997-07-15,IPO,Jay_Ritter,,,,1997-01-01,1997-07-15,1,0.5338809034907598,Other,Unknown,Unknown,0,27,1990,0,0.42780106205022755
Travel Services International,1996,1,1997-01-01,1997-07-22,IPO,Jay_Ritter,,,,1997-01-01,1997-07-22,1,0.5530458590006845,Other,Unknown,Unknown,0,28,1990,0,0.44021807302914223
Net.B@NK Inc,1997,0,1997-01-01,1997-07-28,IPO,Jay_Ritter,,,,1997-01-01,1997-07-28,1,0.5694729637234771,Other,Unknown,Unknown,0,27,1990,0,0.450739871107205
American Champion,1997,0,1997-01-01,1997-07-30,IPO,Jay_Ritter,,,,1997-01-01,1997-07-30,1,0.5749486652977412,Other,Unknown,Unknown,0,27,1990,0,0.4542226782846664
Vestcom International Inc,1996,0,1997-01-01,1997-07-30,IPO,Jay_Ritter,,,,1997-01-01,1997-07-30,1,0.5749486652977412,Other,Unknown,Unknown,0,28,1990,0,0.4542226782846664
Pan Pacific Ret Ppty Inc,1997,0,1997-01-01,1997-08-07,IPO,Jay_Ritter,,,,1997-01-01,1997-08-07,1,0.5968514715947981,Other,Unknown,Unknown,0,27,1990,0,0.4680338602707305
International Isotopes Inc,1995,0,1995-01-01,1997-08-14,IPO,Jay_Ritter,,,,1995-01-01,1997-08-14,1,2.617385352498289,Other,Unknown,Unknown,0,29,1990,0,1.2857514865536386
SL Green Realty Corp,1997,0,1997-01-01,1997-08-14,IPO,Jay_Ritter,,,,1997-01-01,1997-08-14,1,0.6160164271047228,Other,Unknown,Unknown,0,27,1990,0,0.4799641253348135
U S Liquids Inc,1996,0,1997-01-01,1997-08-19,IPO,Jay_Ritter,,,,1997-01-01,1997-08-19,1,0.6297056810403833,Other,Unknown,Unknown,0,28,1990,0,0.48839943473616326
CTB International Corp,1995,0,1995-01-01,1997-08-20,IPO,Jay_Ritter,,,,1995-01-01,1997-08-20,1,2.6338124572210813,Other,Unknown,Unknown,0,29,1990,0,1.2902823608329719
OrthAlliance Inc,1996,0,1997-01-01,1997-08-21,IPO,Jay_Ritter,,,,1997-01-01,1997-08-21,1,0.6351813826146475,Other,Unknown,Unknown,0,28,1990,0,0.49175373557511004
Premium Cigars International,1996,0,1997-01-01,1997-08-21,IPO,Jay_Ritter,,,,1997-01-01,1997-08-21,1,0.6351813826146475,Other,Unknown,Unknown,0,28,1990,0,0.49175373557511004
INSpire Insurance Solutions,1995,0,1996-01-01,1997-08-22,IPO,Jay_Ritter,,,,1996-01-01,1997-08-22,1,1.6399726214921286,Other,Unknown,Unknown,0,29,1990,0,0.9707685464575283
AutoCyte Inc,1996,1,1997-01-01,1997-09-05,IPO,Jay_Ritter,,,,1997-01-01,1997-09-05,1,0.676249144421629,Other,Unknown,Unknown,0,28,1990,0,0.5165586452014682
Hanover Capital Mortgage,1997,0,1997-01-01,1997-09-15,IPO,Jay_Ritter,,,,1997-01-01,1997-09-15,1,0.70362765229295,Other,Unknown,Unknown,0,27,1990,0,0.5327598906168926
MuniHoldings California,1997,0,1997-01-01,1997-09-16,IPO,Jay_Ritter,,,,1997-01-01,1997-09-16,1,0.7063655030800822,Other,Unknown,Unknown,0,27,1990,0,0.5343656717728584
MuniHoldings New York Insured,1997,0,1997-01-01,1997-09-16,IPO,Jay_Ritter,,,,1997-01-01,1997-09-16,1,0.7063655030800822,Other,Unknown,Unknown,0,27,1990,0,0.5343656717728584
BridgeStreet Accommodations,1996,0,1997-01-01,1997-09-24,IPO,Jay_Ritter,,,,1997-01-01,1997-09-24,1,0.7282683093771389,Other,Unknown,Unknown,0,28,1990,0,0.5471199299587607
Intercorp Excelle Inc,1997,0,1997-01-01,1997-10-10,IPO,Jay_Ritter,,,,1997-01-01,1997-10-10,1,0.7720739219712526,Other,Unknown,Unknown,0,27,1990,0,0.5721505680008382
China Telecom(Hong Kong),1995,0,1996-01-01,1997-10-16,IPO,Jay_Ritter,,,,1996-01-01,1997-10-16,1,1.790554414784394,Other,Unknown,Unknown,0,29,1990,0,1.0262402910685537
N2K Inc,1995,1,1996-01-01,1997-10-17,IPO,Jay_Ritter,,,,1996-01-01,1997-10-17,1,1.7932922655715264,Other,Unknown,Unknown,0,29,1990,0,1.0272209236551062
Ameripath Inc,1996,1,1997-01-01,1997-10-22,IPO,Jay_Ritter,,,,1997-01-01,1997-10-22,1,0.8049281314168378,Other,Unknown,Unknown,0,28,1990,0,0.5905207746025872
American Resid Invst Trust Inc,1997,0,1997-01-01,1997-10-28,IPO,Jay_Ritter,,,,1997-01-01,1997-10-28,1,0.8213552361396304,Other,Unknown,Unknown,0,27,1990,0,0.5995808592269897
Young Innovations Inc,1995,0,1995-01-01,1997-11-04,IPO,Jay_Ritter,,,,1995-01-01,1997-11-04,1,2.841889117043121,Other,Unknown,Unknown,0,29,1990,0,1.3459642031914998
Somnus Medical Technologies,1996,1,1997-01-01,1997-11-06,IPO,Jay_Ritter,,,,1997-01-01,1997-11-06,1,0.8459958932238193,Other,Unknown,Unknown,0,28,1990,0,0.6130189113890305
Prime Group Realty Trust,1997,0,1997-01-01,1997-11-11,IPO,Jay_Ritter,,,,1997-01-01,1997-11-11,1,0.8596851471594799,Other,Unknown,Unknown,0,27,1990,0,0.6204071976756483
